731	794	312	110	325	935	926	130	702	921	800	550	646	84	875	855	128	162	361	6	821	850	347	499	605	342	922	116	197	280	
511	880	467	675	42	179	825	939	586	639	243	178	762	276	303	707	122	140	188	550	230	792	498	805	285	598	262	807	841	645	
928	850	956	55	222	623	163	523	51	880	939	791	947	587	47	699	2	393	855	178	950	988	330	45	109	42	767	907	621	338	
372	241	177	3	593	294	661	538	555	261	324	683	703	279	426	911	534	320	225	700	205	507	974	884	531	168	647	587	512	157	
795	360	491	436	123	858	562	3	884	15	414	681	460	534	698	1000	429	27	975	819	805	63	271	663	68	600	470	157	104	625	
298	696	319	411	820	244	100	952	962	883	644	915	972	386	647	79	653	297	252	663	119	487	539	986	871	816	419	591	399	147	
791	986	167	559	159	656	113	505	778	508	736	274	451	837	520	379	482	713	725	463	911	45	189	875	161	960	309	359	782	961	
995	530	526	53	536	280	108	370	775	808	333	678	158	947	409	418	619	18	952	527	93	6	854	18	330	667	603	950	247	968	
745	398	28	359	75	916	971	813	505	236	220	103	709	601	547	678	949	584	772	39	279	871	638	116	118	161	43	269	476	193	
681	161	10	446	107	447	629	701	183	140	59	717	665	242	106	14	217	1000	434	968	668	194	299	638	150	613	928	830	29	592	
166	770	995	838	421	283	886	999	91	477	557	951	977	372	854	683	403	839	91	199	563	908	741	503	603	810	902	441	285	84	
468	976	479	141	953	454	532	373	607	637	82	56	412	0	237	876	783	408	973	717	692	805	720	306	198	51	605	729	197	351	
250	443	731	501	176	894	378	533	353	501	612	730	878	547	139	958	771	467	258	770	508	9	242	872	386	244	993	436	547	746	
270	513	284	900	737	500	199	25	795	899	644	66	756	724	899	688	742	259	654	880	323	905	685	365	386	582	19	175	162	343	
557	159	943	262	338	910	204	492	479	630	489	942	227	669	757	83	141	661	17	345	237	145	735	841	616	947	918	264	826	738	
629	803	93	599	290	495	950	512	19	576	385	559	846	397	144	55	650	89	771	147	856	915	161	610	336	934	802	831	579	791	
752	709	521	801	873	469	1000	57	646	92	927	353	52	571	333	54	975	925	489	376	456	661	108	423	944	715	232	809	307	195	
731	513	520	106	753	783	285	141	360	220	746	2	723	470	268	449	195	994	946	418	409	272	856	728	221	405	582	650	820	527	
932	853	838	395	60	653	247	430	381	797	34	446	882	212	521	667	575	830	806	579	991	844	373	509	169	357	818	14	693	733	
567	711	178	640	108	6	416	614	471	15	677	74	351	295	332	238	938	751	364	248	468	556	554	728	646	421	590	984	951	920	
193	216	383	604	434	601	559	886	975	823	353	677	847	999	823	246	52	396	842	866	598	738	500	769	53	233	436	837	193	652	
543	858	575	765	94	720	875	974	299	443	405	385	598	155	385	726	314	671	379	844	708	762	491	413	522	555	496	424	281	134	
494	764	281	321	972	416	735	44	761	862	56	440	823	889	572	388	618	367	157	459	757	211	707	168	396	562	817	878	186	617	
489	824	722	178	491	914	27	380	453	710	601	568	480	311	903	563	709	340	618	465	568	917	859	656	728	331	640	948	478	183	
169	942	811	353	451	424	332	354	980	724	745	957	328	513	110	954	513	928	346	305	346	614	797	796	564	385	820	984	987	650	
286	195	219	821	488	623	795	448	176	247	732	146	730	393	372	178	31	452	4	349	241	516	936	509	384	538	299	275	824	189	
381	281	74	146	92	774	233	222	588	564	181	421	418	369	579	491	937	676	893	550	834	928	453	557	520	330	670	392	265	644	
332	0	118	917	933	566	813	239	320	660	289	603	498	718	538	469	98	13	282	125	126	716	371	587	187	310	783	433	459	793	
792	16	773	139	907	70	43	329	847	995	801	802	926	913	761	470	368	102	668	360	49	353	564	887	715	734	691	537	799	152	
695	678	822	795	689	714	925	128	335	165	926	911	965	43	912	329	440	652	439	855	535	101	958	138	335	24	610	524	284	874	
